Date,PowerPlantID,NO2,CloudFraction,UWind,VWind,Temp,SolarRadiation,Humidity,BoundLayer,No2flux,wind_speed,wind_direction,value,date
2019-03-01,H4810851,1.2523283772297632e-06,0.11560125170102947,17288,2554,16984,22009,61.71143,-1822,,17475.63618298344,261.59633405406913,1338.3275897193796,2019-03-03
2019-03-01,L0200473,6.415427764717655e-07,0.20428461579157398,-12670,6769,5005,-18344,80.270096,-5165,,14364.8272178958,118.11354622160162,18135.40688478473,2019-03-07
2019-03-01,U0100258,1.5456594380713677e-06,0.2991125568052224,1473,21329,1721,11152,84.37101,-10860,,21379.802852224806,183.95062552379534,4938.590775748837,2019-03-08
2019-03-01,H5307960,1.207853952754649e-06,0.1526622653366404,-4035,-9609,14268,15684,71.94119,-7625,,10421.80915196589,22.778452095127847,5818.345585354669,2019-03-09
2019-03-02,S3200688,1.2889603545081247e-06,0.2025094397919505,19990,19598,13512,-22802,82.95277,-6541,,27994.315565843004,225.567323723118,7813.902057561845,2019-03-10
2019-03-02,F1700736,7.230939728072342e-07,0.0055251922145342445,22369,-18232,11458,21172,75.84621,-11555,4.740219083080793e-11,28857.89294110019,309.1819809814973,1345.059440737976,2019-03-11
2019-03-02,H4810851,7.182883786354845e-07,0.007829247816771875,25619,-12178,12109,22580,66.895546,-2305,5.153312334569236e-11,28366.121430326002,295.42409299672806,1275.838691741053,2019-03-12
2019-03-02,K7000764,8.829444826049188e-07,0.00017991371995474447,22451,-16451,11056,21351,83.97602,-20390,-5.940970740065705e-11,27833.124186838962,306.23214678074555,1121.837176283931,2019-03-15
2019-03-02,L0200473,1.0013796229589476e-06,0.0391932853867946,22486,-10839,2637,13255,93.181435,-30098,1.040220848075363e-10,24962.05354132548,295.7356133272375,19255.20097174428,2019-03-16
2019-03-02,H5307960,8.600943235345797e-07,0.061023698974700044,20422,-23655,5413,18067,82.190506,-16361,4.687442367364524e-11,31250.873731785483,319.1950706122159,7246.121417126077,2019-03-19
2019-03-03,L0200473,3.8890251626781203e-07,0.013973008119587673,-1669,-32715,1718,-6037,89.90114,-14813,-5.4925849609623406e-11,32757.545481919125,2.9204898007235442,24119.96355676977,2019-03-26
2019-03-03,H5307960,8.904334568291606e-07,0.1508269553954545,526,-24079,650,-22445,89.407295,-18978,,24084.744486915362,358.7485864206972,7103.522938826126,2019-03-28
2019-03-04,E5400878,2.5906941960170247e-06,0.029831376122672885,7611,-18199,-10688,5999,69.089355,31556,,19726.401648552124,337.30484086736135,1508.9286827727972,2019-04-02
2019-03-04,E5600896,2.570659212623059e-06,0.006782815587567244,7518,-18018,-10281,5425,69.06669,31708,,19523.540867373416,337.3516910134988,3915.257521659402,2019-04-03
