facility_id,data_source,name,iso2,geom,geometry,longitude,latitude
S3200688,tw_epa,台灣電力股份有限公司興達發電廠。,TW,POINT(120.202939764967 22.8508886719243),POINT (120.202939764967 22.8508886719243),120.202939764967,22.8508886719243
F1700736,tw_epa,台灣電力股份有限公司林口發電廠。,TW,POINT(121.299694383972 25.1221981283711),POINT (121.299694383972 25.1221981283711),121.299694383972,25.1221981283711
H4810851,tw_epa,華亞汽電股份有限公司華亞汽電廠。,TW,POINT(121.36482786733 25.0364911318493),POINT (121.36482786733 25.0364911318493),121.36482786733,25.0364911318493
C1400170,tw_epa,台灣電力股份有限公司協和發電廠。,TW,POINT(121.739240933003 25.1569279229638),POINT (121.739240933003 25.1569279229638),121.739240933003,25.1569279229638
E5400878,tw_epa,台灣電力股份有限公司南部發電廠。,TW,POINT(120.299374078243 22.6007508877674),POINT (120.299374078243 22.6007508877674),120.299374078243,22.6007508877674
E5600896,tw_epa,台灣電力股份有限公司大林發電廠。,TW,POINT(120.33522625907 22.5345038617667),POINT (120.33522625907 22.5345038617667),120.33522625907,22.5345038617667
K7000764,tw_epa,台灣電力股份有限公司通霄發電廠。,TW,POINT(120.670406111051 24.4906746127416),POINT (120.670406111051 24.4906746127416),120.670406111051,24.4906746127416
L0200473,tw_epa,台灣電力股份有限公司台中發電廠。,TW,POINT(120.480320136304 24.2139127992481),POINT (120.480320136304 24.2139127992481),120.480320136304,24.2139127992481
U0100258,tw_epa,和平電力股份有限公司和平火力發電廠。,TW,POINT(121.753053827676 24.3078581703041),POINT (121.753053827676 24.3078581703041),121.753053827676,24.3078581703041
X0501232,tw_epa,台灣電力股份有限公司尖山發電廠。,TW,POINT(121.658716616594 23.563370636744),POINT (121.658716616594 23.563370636744),121.658716616594,23.563370636744
H5307960,tw_epa,台灣電力股份有限公司大潭發電廠。,TW,POINT(121.049558893978 25.0293550603625),POINT (121.049558893978 25.0293550603625),121.049558893978,25.0293550603625
